"RBD","COM_NOMBRE","ESTABLECIMIENTO","GRUPO_DEPENDENCIA","PROMEDIO_ESTABLECIMIENTO","LATITUD","LONGITUD"
578,"LA SERENA","LICEO BICENTENARIO DE EXCELENCIA IGNACIO CARRERA PINTO","Municipal",573.5,-29.901899,-71.246246
579,"LA SERENA","COLEGIO SEMINARIO CONCILIAR","Particular subvencionado",642.9,-29.905001,-71.243149
580,"LA SERENA","COLEGIO GERONIMO RENDIC","Particular pagado",741.6,-29.90433437,-71.24346363
581,"LA SERENA","ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN","Particular subvencionado",603.8,-29.92764091,-71.25418854
582,"LA SERENA","COLEGIO ANDRES BELLO","Particular pagado",701.7,-29.90109758,-71.25307612
583,"LA SERENA","COLEGIO SAGRADOS CORAZONES","Particular subvencionado",671.2,-29.904659,-71.247299
585,"LA SERENA","COLEGIO THE INTERNATIONAL SCHOOL","Particular pagado",749.9,-29.932303,-71.26223
587,"LA SERENA","COLEGIO SERENA","Particular pagado",783.8,-29.915619,-71.24915
589,"LA SERENA","COLEGIO SANTO DOMINGO","Particular subvencionado",655.2,-29.921869,-71.250229
590,"LA SERENA","COLEGIO PARTICULAR SAN JOSE","Particular pagado",709.9,-29.93736763,-71.14869905
591,"LA SERENA","COLEGIO INGLES CATOLICO","Particular pagado",740.3,-29.917365,-71.25518
597,"LA HIGUERA","COLEGIO PEDRO PABLO MUÑOZ","Municipal",522.2,-29.511,-71.20237
609,"COQUIMBO","LICEO BICENTENARIO DE EXCELENCIA INSTITUTO SUPERIOR DE
COMERCIO DE COQUIMBO","Servicio Local de Educación",535,-29.96055,-71.340134
610,"COQUIMBO","LICEO INDUSTRIAL JOSE TOMAS DE URMENETA","Servicio Local de Educación",529.9,-29.96525,-71.347221
611,"COQUIMBO","LICEO DIEGO PORTALES","Servicio Local de Educación",531.2,-29.95303,-71.337021
613,"COQUIMBO","COLEGIO DE ARTES CLAUDIO ARRAU","Servicio Local de Educación",603.3,-29.961269,-71.338287
629,"COQUIMBO","COLEGIO PABLO NERUDA","Servicio Local de Educación",534.8,-30.05068,-71.252403
646,"COQUIMBO","COLEGIO BERNARDO O´HIGGINS","Particular subvencionado",560.9,-29.96076,-71.337341
647,"COQUIMBO","COLEGIO MANUEL MONTT","Particular subvencionado",520.5,-29.999411,-71.335777
648,"COQUIMBO","COLEGIO SANTA MARTA","Particular subvencionado",620.3,-29.96142,-71.34729
649,"COQUIMBO","COLEGIO PARTICULAR GABRIELA MISTRAL","Particular subvencionado",620.3,-29.963671,-71.339043
656,"ANDACOLLO","LICEO BICENTENARIO DE EXCELENCIA LICEO PEDRO REGALADO
S. VIDELA O.","Servicio Local de Educación",521,-30.23233,-71.079941
664,"ANDACOLLO","COLEGIO PARROQUIAL DE ANDACOLLO","Particular subvencionado",580.1,-30.231791,-71.085854
665,"VICUÑA","LICEO CARLOS ROBERTO MONDACA CORTES","Municipal",494.3,-30.033791,-70.709099
668,"VICUÑA","ESCUELA EDMUNDO VIDAL CARDENAS","Municipal",554.6,-30.040661,-70.660828
690,"VICUÑA","LICEO BICENTENARIO DE EXCELENCIA COLEGIO ANTONIO VARAS","Particular subvencionado",586.9,-30.032721,-70.707787
701,"OVALLE","LICEO ESTELA AVILA DE PERRY","Municipal",548.3,-30.60384,-71.205368
704,"OVALLE","LICEO ALEJANDRO ALVAREZ JOFRE","Municipal",620.1,-30.60228,-71.204826
705,"OVALLE","LICEO BICENTENARIO DE EXCELENCIA  POLITECNICO DE OVALLE","Municipal",547.8,-30.5989,-71.205589
763,"OVALLE","COLEGIO SAN JUAN BAUTISTA","Particular subvencionado",551.5,-30.59938,-71.203827
766,"OVALLE","COLEGIO SANTA MARIA EUFRASIA","Particular subvencionado",585.7,-30.597179,-71.193024
767,"OVALLE","COLEGIO PARTICULAR GABRIELA MISTRAL","Particular subvencionado",587,-30.604361,-71.198372
